FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,803.3000282453012/3.638352761216895/-4187.141353748619,0.0/166.710451/0.0,B319AS300624
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,806.5822548073362/3.762853035868953/-4186.608883046537,0.0/166.363112/0.0,B319AS300623
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,809.7522987533739/3.8793519830249394/-4185.968013906948,0.0/166.113347/0.0,B319AS300622
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,812.6612953361806/3.952853569936925/-4185.471431872814,0.0/166.406261/0.0,B319AS300621
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,815.9412463641698/4.014690243340971/-4184.609434696962,0.0/166.222115/0.0,B319AS300620
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,796.5977577376133/3.518353829332297/-4159.407955319399,0.0/172.362963/0.0,B319AS300619
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,799.9343055881812/3.6203531121537282/-4158.9287072692,0.0/167.510438/0.0,B319AS300618
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,802.9878029033113/3.7218545770138167/-4158.197994376158,0.0/167.521632/0.0,B319AS300617
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,805.9887794656939/3.8438524102460754/-4157.541011953495,0.0/167.667096/0.0,B319AS300616
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,809.0725502181124/3.9413541650279154/-4156.920894766588,0.0/167.651774/0.0,B319AS300615
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,792.036783615678/3.53035295957375/-4114.282467036679,0.0/171.999487/0.0,B319AS300614
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,795.0712684803226/3.632853875127505/-4113.931392819074,0.0/171.983476/0.0,B319AS300613
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,798.3137611553069/3.760852227165881/-4113.333004145411,0.0/171.992236/0.0,B319AS300612
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,801.2457985098392/3.8433526849268125/-4113.171138909682,0.0/171.882137/0.0,B319AS300611
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5391.fbx,804.5352577369698/3.92485369200262/-4112.704586176512,0.0/168.512320/0.0,B319AS300610
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,853.399790208872/2.6818536614838884/-3741.873897686944,0.0/201.814964/0.0,B319AS300609
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,856.3108009512449/2.7443517541282025/-3742.9703332306485,0.0/201.813158/0.0,B319AS300608
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,863.8247780024518/2.6178525781093196/-3715.5234338139244,0.0/201.814964/0.0,B319AS300607
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,866.8885292288254/2.700852761229123/-3716.74413693892,0.0/201.813158/0.0,B319AS300606
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,868.3802589655241/2.521352181406326/-3694.537105692127,0.0/198.469530/0.0,B319AS300605
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,906.6212868965013/2.2348531579308912/-3600.4589806825998,0.0/199.424589/0.0,B319AS300604
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,915.8820290827415/2.2048524713045192/-3577.4092980614123,0.0/199.424589/0.0,B319AS300603
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,940.1982980054395/2.066604027706182/-3515.9486046995776,0.0/201.982535/0.0,B319AS300602
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,943.418283967345/2.1156038140452056/-3517.3990441474994,0.0/201.959662/0.0,B319AS300601
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,946.4200387275677/2.167353997173179/-3518.417476762829,0.0/202.003165/0.0,B319AS300600
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,949.8935494705966/2.2148527001781644/-3519.973873247816,0.0/201.923621/0.0,B319AS300599
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,956.8842873849023/2.0301030969158864/-3483.7159386739995,0.0/201.959662/0.0,B319AS300598
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,959.8827767657715/2.121852288185438/-3484.9968224618,0.0/202.003165/0.0,B319AS300597
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,998.0022836026943/1.8983529901040226/-3376.419796082739,0.0/202.074096/0.0,B319AS300596
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1001.0297799400677/1.9753526544044482/-3377.5869103387663,0.0/202.249277/0.0,B319AS300595
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,1007.9257912928921/1.8973535394141479/-3351.856929871896,0.0/202.074096/0.0,B319AS300594
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1010.9127908047408/1.9728521203464784/-3353.0248986191164,0.0/202.249277/0.0,B319AS300593
